ticker,entry_date,exit_date,entry_price,exit_price,trade_return,confidence,stopped_out
GOOGL,2025-03-29,2025-04-03,152.5809,163.4234,0.07106,0.7778,False
MSFT,2025-04-01,2025-04-06,371.8036,390.0936,0.049193,0.7699,False
AMZN,2025-04-01,2025-04-06,187.86,203.26,0.081976,0.7832,False
META,2025-04-04,2025-04-09,505.0444,600.7059,0.189412,0.8167,False
AAPL,2025-04-05,2025-04-10,176.431,216.9544,0.229684,0.8003,False
GOOGL,2025-04-05,2025-04-10,141.0609,153.7967,0.090286,0.9018,False
JPM,2025-04-05,2025-04-10,201.8445,236.7588,0.172976,0.8249,False
AMZN,2025-04-08,2025-04-13,185.23,190.26,0.027155,0.8289,False
MSFT,2025-04-08,2025-04-13,365.4622,372.538,0.019361,0.6856,False
TSLA,2025-04-09,2025-04-14,224.69,268.46,0.194802,0.6575,False
META,2025-04-17,2025-04-22,503.6786,583.9482,0.159367,0.6674,False
GOOGL,2025-04-26,2025-05-01,161.8687,150.6377,-0.05,0.7335,True
TSLA,2025-04-29,2025-05-04,285.5,227.5,-0.05,0.7957,True
MSFT,2025-05-02,2025-05-07,428.4599,384.3575,-0.05,0.9107,True
JPM,2025-05-03,2025-05-08,246.3882,238.9038,-0.030377,0.8178,False
META,2025-05-03,2025-05-08,589.3812,545.568,-0.05,0.7876,True
MSFT,2025-05-09,2025-05-14,436.6571,422.168,-0.033182,0.8558,False
TSLA,2025-05-13,2025-05-18,320.0,280.26,-0.05,0.8863,True
JPM,2025-05-13,2025-05-18,256.0503,247.7419,-0.032448,0.8947,False
META,2025-05-13,2025-05-18,643.5323,597.4062,-0.05,0.8861,True
AMZN,2025-05-13,2025-05-18,211.08,186.35,-0.05,0.9158,True
GOOGL,2025-05-22,2025-05-27,171.2562,164.7986,-0.037707,0.6885,False
AAPL,2025-05-24,2025-05-29,197.6984,210.6191,0.065355,0.8414,False
TSLA,2025-05-28,2025-06-02,364.84,342.09,-0.05,0.8562,True
META,2025-06-03,2025-06-08,669.3618,625.1097,-0.05,0.8304,True
MSFT,2025-06-06,2025-06-11,467.375,456.0309,-0.024272,0.7407,False
TSLA,2025-06-06,2025-06-11,298.83,358.43,0.199445,0.8135,False
AMZN,2025-06-07,2025-06-12,214.75,205.01,-0.045355,0.8869,False
GOOGL,2025-06-10,2025-06-15,175.8037,168.4459,-0.041852,0.7452,False
